task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
distribute-candies_python3,repair_fail,3,CDS,local_qwen,local_qwen,1340,6144,7484,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
partition-array-into-three-parts-with-equal-sum_python3,repair_fail,3,CDS,local_qwen,local_qwen,1444,6144,7588,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
convert-integer-to-the-sum-of-two-no-zero-integers_python3,repair_fail,3,CDS,local_qwen,local_qwen,1266,6144,7410,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
reverse-nodes-in-k-group_python3,repair_success,3,CDS,local_qwen,local_qwen,1369,6144,7513,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
grid-game_python3,repair_fail,3,CDS,local_qwen,local_qwen,1721,6144,7865,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
how-many-numbers-are-smaller-than-the-current-number_python3,repair_fail,3,CDS,local_qwen,local_qwen,1416,6144,7560,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-speed-to-arrive-on-time_python3,repair_fail,3,CDS,local_qwen,local_qwen,2032,6144,8176,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_fail,3,CDS,local_qwen,local_qwen,1945,6144,8089,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
median-of-two-sorted-arrays_python3,repair_fail,3,CDS,local_qwen,local_qwen,1657,6144,7801,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimize-the-total-price-of-the-trips_python3,repair_fail,3,CDS,local_qwen,local_qwen,2845,6144,8989,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
increasing-decreasing-string_python3,repair_fail,3,CDS,local_qwen,local_qwen,1522,6144,7666,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-inorder-traversal_python3,repair_fail,3,CDS,local_qwen,local_qwen,1022,6144,7166,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
minimum-time-to-complete-all-tasks_python3,repair_fail,3,CDS,local_qwen,local_qwen,1686,6144,7830,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
lexicographical-numbers_python3,repair_success,3,CDS,local_qwen,local_qwen,928,5446,6374,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
maximum-performance-of-a-team_python3,repair_fail,3,CDS,local_qwen,local_qwen,1954,6144,8098,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
range-sum-query-immutable_python3,repair_fail,3,CDS,local_qwen,local_qwen,944,6144,7088,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
merge-k-sorted-lists_python3,repair_fail,3,CDS,local_qwen,local_qwen,1376,6144,7520,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> max_context_reached
moving-stones-until-consecutive-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,1658,6144,7802,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
binary-tree-level-order-traversal-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,1299,6144,7443,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-positive-integer-solution-for-a-given-equation_python3,repair_fail,3,CDS,local_qwen,local_qwen,2245,6144,8389,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
removing-minimum-and-maximum-from-array_python3,repair_fail,3,CDS,local_qwen,local_qwen,1682,6144,7826,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
maximum-number-of-consecutive-values-you-can-make_python3,repair_fail,3,CDS,local_qwen,local_qwen,1443,6144,7587,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sum-of-subarray-minimums_python3,repair_fail,3,CDS,local_qwen,local_qwen,1397,6144,7541,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
can-you-eat-your-favorite-candy-on-your-favorite-day_python3,repair_fail,3,CDS,local_qwen,local_qwen,1945,6144,8089,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sliding-window-median_python3,repair_fail,3,CDS,local_qwen,local_qwen,2491,6144,8635,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
kth-largest-sum-in-a-binary-tree_python3,repair_fail,3,CDS,local_qwen,local_qwen,1589,6144,7733,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
isomorphic-strings_python3,repair_fail,3,CDS,local_qwen,local_qwen,959,6144,7103,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
construct-binary-tree-from-preorder-and-inorder-traversal_python3,repair_fail,3,CDS,local_qwen,local_qwen,1491,6144,7635,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
design-a-text-editor_python3,repair_fail,3,CDS,local_qwen,local_qwen,1346,6144,7490,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
