task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
partition-labels_python3,repair_fail,1,TAC,local_qwen,local_qwen,476,2048,2524,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
moving-stones-until-consecutive-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,611,2048,2659,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
longest-happy-prefix_python3,repair_fail,1,TAC,local_qwen,local_qwen,416,2048,2464,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
arithmetic-slices-ii-subsequence_python3,repair_fail,1,TAC,local_qwen,local_qwen,465,2048,2513,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sum-of-absolute-differences-in-a-sorted-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,502,2048,2550,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
lexicographically-smallest-string-after-substring-operation_python3,repair_fail,1,TAC,local_qwen,local_qwen,654,2048,2702,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximum-of-absolute-value-expression_python3,repair_success,1,TAC,local_qwen,local_qwen,477,1570,2047,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
sliding-window-median_python3,repair_fail,1,TAC,local_qwen,local_qwen,820,2048,2868,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
next-greater-element-i_python3,repair_fail,1,TAC,local_qwen,local_qwen,643,2048,2691,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
partition-array-into-three-parts-with-equal-sum_python3,repair_fail,1,TAC,local_qwen,local_qwen,504,2048,2552,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
kth-missing-positive-number_python3,repair_fail,1,TAC,local_qwen,local_qwen,445,2048,2493,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
linked-list-in-binary-tree_python3,repair_fail,1,TAC,local_qwen,local_qwen,697,2048,2745,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
removing-minimum-and-maximum-from-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,590,2048,2638,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
sort-an-array_python3,repair_success,1,TAC,local_qwen,local_qwen,377,1408,1785,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
4sum-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,580,2048,2628,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
count-the-repetitions_python3,repair_fail,1,TAC,local_qwen,local_qwen,595,2048,2643,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-cost-to-cut-a-stick_python3,repair_fail,1,TAC,local_qwen,local_qwen,648,2048,2696,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
fizz-buzz_python3,repair_fail,1,TAC,local_qwen,local_qwen,405,2048,2453,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
remove-duplicates-from-sorted-array-ii_python3,repair_fail,1,TAC,local_qwen,local_qwen,524,2048,2572,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-bit-flips-to-convert-number_python3,repair_success,1,TAC,local_qwen,local_qwen,587,1011,1598,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
length-of-the-longest-valid-substring_python3,repair_fail,1,TAC,local_qwen,local_qwen,671,2048,2719,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
corporate-flight-bookings_python3,repair_success,1,TAC,local_qwen,local_qwen,587,2048,2635,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
koko-eating-bananas_python3,repair_fail,1,TAC,local_qwen,local_qwen,426,2048,2474,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
powerful-integers_python3,repair_fail,1,TAC,local_qwen,local_qwen,469,2048,2517,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
add-edges-to-make-degrees-of-all-nodes-even_python3,repair_fail,1,TAC,local_qwen,local_qwen,686,2048,2734,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
split-linked-list-in-parts_python3,repair_fail,1,TAC,local_qwen,local_qwen,684,2048,2732,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-there-is-a-valid-partition-for-the-array_python3,repair_fail,1,TAC,local_qwen,local_qwen,462,2048,2510,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
k-similar-strings_python3,repair_fail,1,TAC,local_qwen,local_qwen,549,2048,2597,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_success,1,TAC,local_qwen,local_qwen,523,2048,2571,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
make-array-zero-by-subtracting-equal-amounts_python3,repair_fail,1,TAC,local_qwen,local_qwen,440,2048,2488,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
unique-number-of-occurrences_python3,repair_success,1,TAC,local_qwen,local_qwen,392,2048,2440,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
